,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
SIDM01011,-0.78339,0.63631,-0.79962,0.3402,-0.40926,0.01934,0.34275,-1.83987,-0.97894,-0.24932,-0.13523,-0.11813,1.00082,-0.12044,0.06445,0.30358,0.77785,-0.47344,-0.06194,-0.09119,-0.22101,0.20958,-0.0853,-0.10439,-0.21589,-0.11106,0.46464,1.60846,-0.19751,-0.05499,0.06979,-0.06999,0.01929,-0.03516,0.0374,-0.22111,-0.42228,0.2077,-0.08276,0.095,-0.03933,0.02241,-0.08538,-0.3531,-0.24914,0.05723,-0.05537,-0.06383,-0.08038,0.80666,0.29999,0.03021,0.02651,0.06862,-0.04137,-0.03667,0.21578,0.05079,0.0053,0.02054,0.20821,0.1167,-0.0862,0.20497,-0.07294,-0.27524,-0.01014,0.0575,-0.04479,-0.19089,-0.3032,-0.27908,-0.06331,0.2047,-0.09144,-0.06311,0.22894,-0.11929,0.04226,0.04677,0.14155,-0.21358,0.07149,-0.07781,-0.01054,0.13876,0.00962,0.10627,-0.20275,0.10135,0.13425,-0.17415,0.1058,0.16464,-0.17695,-0.03276,-0.07205,0.13263,-0.03987,0.0571
SIDM00211,0.5249,-0.70477,0.4498,-0.52328,0.76896,-0.58016,-0.21259,2.42691,-0.0166,1.2431,0.26083,-0.03961,-2.40402,-0.185,-0.08519,0.22302,-0.85682,0.27721,-0.34314,0.67525,0.44299,-0.32861,0.02287,0.196,0.30867,-0.06109,-0.08512,-0.29491,0.14165,0.39188,-0.11822,-0.09681,-0.07793,-0.13599,-0.59503,-0.01026,-0.17372,-0.26296,0.28152,-0.25022,-0.05412,-0.26187,-0.1286,0.30843,-0.34583,0.02365,0.12208,-0.00411,0.04113,-0.59995,0.1493,-0.04273,0.26612,0.14302,-0.07001,0.08094,-0.00678,-0.07116,-0.08798,0.20668,0.06278,0.08356,0.25803,-0.3244,-0.11746,0.15303,0.01624,-0.04251,-0.04505,0.06841,0.02208,-0.04072,0.29203,0.27327,0.01316,-0.313,0.23804,-0.23777,-0.06012,-0.19733,-0.00378,-0.11622,-0.11995,0.10006,-0.12063,0.02976,-0.07775,-0.00718,-0.05042,0.05616,0.13216,-0.13948,-0.05148,-0.1791,-0.17089,0.04968,0.01902,0.18653,-0.03171,0.01139
SIDM00405,-0.66988,1.50137,-2.62547,-0.03307,1.19223,0.54573,0.50251,-1.81443,-4.00085,1.73475,-0.06979,-0.31658,-0.57831,-0.02811,-0.02875,0.06977,0.32924,-0.47843,-0.38662,0.55606,0.06653,-0.01693,-0.12459,0.22073,-0.14008,-0.0163,0.05539,-0.22559,-0.18801,-0.08423,0.12116,0.28105,-0.01122,0.04334,-0.09052,-0.07063,-0.06568,0.20673,1.12469,-0.36914,-0.03366,0.54001,0.19907,-0.24374,0.1503,0.05742,-0.03248,0.04394,-0.01719,1.0402,0.06941,0.2176,-0.01399,-0.33348,0.00311,0.11132,0.06921,0.00934,-0.02967,-0.12602,0.08362,0.41558,-0.22999,0.24992,-0.18015,-0.16848,0.02668,-0.08552,-0.04645,0.11199,-0.03314,-0.45954,0.0437,-0.20941,0.02445,0.20092,-0.12105,-0.091,0.05913,-0.09569,0.03621,-0.0658,-0.08315,0.08858,0.13996,0.0882,0.22309,-0.03532,-0.04045,-0.03386,0.13962,0.16827,0.00641,-0.03567,0.08032,0.24136,0.20569,0.05275,-0.03532,-0.05286
SIDM01245,0.16148,-0.23436,-0.01364,-0.68473,0.64581,-0.82721,-0.23331,2.02247,0.7364,1.33978,0.22154,0.20198,-2.46339,0.09501,-0.05877,0.38564,-0.29819,-0.24895,1.56076,0.50438,-0.36824,-0.01066,-0.12761,-0.02778,-0.15157,0.04127,-0.38385,-0.74794,-0.06335,-0.07835,-0.43329,0.32147,0.08733,-0.18469,-0.08055,0.26927,-0.23894,-0.17921,0.18394,-0.45899,-0.02719,0.08185,-0.00167,-0.27303,-0.16537,0.09432,-0.0242,0.02304,-0.14324,-0.09772,-0.18008,0.22647,-0.13744,-0.03279,-0.13268,-0.06744,-0.0972,-0.01401,0.14982,0.01165,0.04332,0.06529,-0.01382,-0.54199,-0.23327,0.0182,-0.11704,0.31882,-0.09824,-0.13584,-0.09645,-0.12226,-0.01837,0.09545,-0.26562,-0.36474,0.15504,0.17904,0.03496,-0.11496,0.07104,-0.09089,-0.18982,-0.02252,0.01558,-0.11211,-0.00667,0.03125,0.04573,-0.11728,-0.14611,0.15214,-0.04336,0.10637,-0.07423,0.21867,-0.14369,0.04304,0.08679,0.2687
SIDM00791,0.95285,-1.73925,2.19868,0.51902,-1.47682,-0.66538,-0.6889,0.88421,2.18834,-0.58757,-0.24193,0.71161,1.23113,0.09911,0.24084,1.5521,0.66729,0.86356,-0.11887,0.17262,0.19649,-0.1558,-0.12045,0.49686,-0.07991,0.25022,-0.62222,-0.01036,0.26012,-0.0299,0.26069,0.40666,-0.08105,-0.25476,0.60125,0.04587,-0.70494,0.13514,0.49994,1.06712,-0.0611,2.96223,0.12624,-0.04034,-0.26544,-0.04477,0.07454,0.12708,0.54977,-0.05579,-0.26126,-0.25675,-0.2363,-0.29395,0.17061,0.22262,-0.19885,0.09669,-0.10668,-0.03582,0.27221,-0.13494,0.13187,-0.03351,-0.02062,-0.09432,-0.02785,-0.19431,0.18536,-0.44029,0.07844,0.34209,0.2046,0.14006,-0.24333,0.265,0.15857,0.20557,-0.15638,0.43031,-0.02681,0.17199,0.20352,-0.04472,0.10016,0.03214,-0.09979,0.05416,0.25161,0.14028,0.11667,0.32325,0.23414,0.23296,0.16956,0.31287,0.11062,0.08696,0.04151,-0.07605
SIDM00450,-0.40596,-1.02078,0.21391,-0.16003,0.53651,-2.07016,0.00075,2.1246,2.07734,0.43919,0.11151,0.22961,-0.5076,-0.09404,0.04,-0.1746,-0.68242,0.18386,-0.79134,0.17689,-0.45408,0.09043,0.01583,-0.02928,-0.43136,0.01682,-0.40725,-1.24058,-0.2245,-0.21307,-1.30612,0.19205,-0.1057,-0.06814,0.72225,0.10384,-0.19508,0.03061,1.41043,-0.46104,0.19887,-1.44828,-0.14989,0.2988,0.10589,0.15498,-0.04067,0.06025,-0.25254,0.86401,-0.08642,-0.0853,0.23862,-0.06662,-0.16441,-0.06214,0.15065,0.18048,-0.02092,0.00315,0.08612,-0.38834,-0.97663,0.09975,-0.21217,-0.31271,-0.03796,-0.08904,0.13609,0.01311,-0.10573,0.09662,0.47586,0.04288,-0.15445,-0.12376,-0.1539,-0.0918,0.17043,-0.08248,0.05918,-0.13289,0.10155,-0.10613,-0.1229,0.06783,0.23679,-0.06829,-0.03862,0.00058,-0.04943,0.26698,0.05255,0.01031,0.05542,0.04679,-0.04727,0.0548,0.08055,-0.17216
SIDM01010,-0.36589,-0.11478,1.26555,0.16763,-0.08949,1.18793,-0.05251,-0.41404,1.02767,-2.80845,-0.14167,-0.04801,3.12868,0.24721,-0.07241,-0.0424,-0.02374,0.54401,0.16417,1.13571,-0.48865,0.00858,-0.04061,-0.00132,0.10539,-0.44046,-0.24565,0.97866,1.23288,-0.59372,0.09608,-0.144,-0.1451,0.0392,0.19578,-0.63157,-0.07221,0.12514,-0.76046,-0.50236,-0.07666,-0.61397,0.13867,0.60572,0.73932,-0.11356,-0.11883,0.26717,-0.03991,-0.07437,-0.27772,0.18552,-0.13236,0.31492,0.14236,-0.03951,0.29908,0.04554,-0.0141,0.05334,-0.19746,-0.35262,-0.40493,0.28491,0.10135,-0.03233,0.03027,0.01548,-0.10196,0.04762,0.18732,-0.19579,0.15742,0.2833,0.09818,0.01198,-0.06351,0.20266,0.00547,0.32843,0.10232,0.214,-0.09646,-0.03408,-0.16922,-0.13745,0.00715,-0.10202,0.0072,0.0541,0.29372,0.05163,0.10759,-0.00876,0.13107,-0.12179,0.032,0.07828,-0.16078,-0.03992
SIDM01076,0.91528,0.03194,-0.44395,-0.6216,0.6798,-0.20094,-0.06963,1.59478,-0.77461,1.59055,0.27856,-0.37558,-3.06529,0.02922,-0.09035,-0.1269,-0.82936,0.15181,-0.0007,-0.06193,1.22166,-0.17397,0.0336,-0.04165,0.39924,0.08155,0.2225,0.87644,0.43523,0.22663,-0.08697,-0.01486,-0.01657,-0.09828,-0.46059,0.39529,0.051,-0.36893,0.36472,-0.4454,-0.03045,-0.12904,-0.05955,-0.13552,-0.31715,0.02588,0.1723,-0.20178,0.2043,-1.89971,0.20488,-0.05665,-0.03999,-0.03218,-0.00081,0.09244,-0.15541,-0.1064,-0.04092,0.14245,0.04367,0.04478,0.2835,-0.238,0.52526,-0.14129,0.02312,-0.17635,0.04483,-0.18555,-0.01129,0.07054,0.07065,-0.12031,0.10044,-0.0404,-0.14639,-0.12225,0.13849,-0.0626,-0.11379,0.04784,0.07863,-0.05077,-0.10262,0.10216,-0.0255,0.03954,0.06726,-0.05137,-0.01524,0.05573,-0.08127,0.03354,-0.04707,-0.09334,0.05385,0.04006,-0.01028,-0.1107
SIDM01148,0.21646,-0.09311,1.51597,0.25732,-1.15922,-0.85806,-0.06367,-1.18295,1.49566,-2.85953,-0.04299,-0.01932,2.82289,-0.03618,-0.11563,0.04339,0.32388,-0.08954,0.11074,-1.65215,0.59433,-0.0203,-0.19178,-0.61201,-0.52018,0.02437,0.66339,-2.78219,-0.10802,-0.53964,0.2851,-0.99485,0.07245,0.30112,0.46236,0.03844,0.38065,-0.09857,-1.56152,0.88853,-0.09516,-0.06064,-0.15531,0.81065,0.02288,0.13951,0.11819,0.07424,-0.12644,0.11206,-0.16758,-0.15334,0.15751,0.02071,-0.16734,-0.45084,0.04893,0.06275,-0.11376,-0.20499,0.11699,0.18249,0.09707,0.28206,-0.18349,0.05862,-0.04696,-0.07549,-0.1244,-0.09912,0.05265,0.01909,0.21343,-0.41992,0.14661,-0.00903,0.05394,0.1766,0.3375,0.0415,-0.21607,-0.30925,0.00017,-0.04,-0.07722,-0.08614,-0.33676,-0.13043,0.07356,0.07477,-0.21938,-0.21328,0.04115,-0.03727,-0.06413,-0.29062,-0.14398,0.05844,-0.0206,0.03812
SIDM00526,1.08442,-1.48768,2.17398,0.09984,-1.03119,0.49116,-0.31938,0.67433,3.70491,-0.89672,-0.19484,0.45333,1.26198,0.05326,0.06836,-0.07962,0.02219,-0.09503,-0.15796,-0.8687,-0.21063,0.04347,0.05657,0.07197,0.09344,0.12099,-0.17473,-0.05913,0.06942,0.5462,0.74241,0.43657,0.12083,0.08712,0.45589,0.36841,0.26714,0.27937,-1.00784,0.74911,0.05977,3.18199,0.17413,0.03432,0.00717,0.0697,0.03794,-0.24252,-0.02062,0.26948,-0.01761,-0.00071,-0.31303,0.16992,0.06802,0.09136,-0.20939,-0.03593,0.05964,-0.11498,0.01264,-0.33187,0.64887,-0.55037,-0.33641,-0.13717,-0.03358,0.26916,-0.141,-0.14779,0.07753,0.29039,-0.17071,0.21636,0.10537,0.28759,-0.2593,0.1701,0.01419,-0.22219,-0.13005,0.03873,0.08695,-0.06967,-0.07052,0.02354,-0.27904,0.12693,0.1016,0.09079,0.07978,-0.23596,-0.07784,0.03824,0.07934,0.17871,0.09035,-0.03618,-0.07798,-0.13219
SIDM00376,-0.3432,0.29172,-1.36557,-0.43724,1.11788,-0.86583,0.08072,1.33402,-0.59431,3.05396,0.24642,-0.20652,-3.08633,0.00031,-0.15639,-0.06771,-0.91036,-0.13738,-0.39867,0.57215,0.95134,0.04952,-0.02666,-0.38715,0.27004,0.09121,0.21202,0.69818,0.23775,-0.45422,0.1197,-0.10384,-0.04299,-0.20251,-0.44585,0.08772,0.16708,-0.13375,-0.77169,-0.92798,-0.03939,-0.43655,-0.23406,0.09519,-0.18462,0.07773,-0.20307,0.1442,-0.04774,-1.49121,0.04531,-0.06122,-0.19979,0.2452,0.08748,-0.10246,-0.05915,0.00087,-0.05638,0.2041,0.05163,-0.30825,0.55586,0.06212,0.13488,-0.34835,0.05376,0.15615,-0.08479,0.09615,0.07882,0.05674,0.14703,-0.07786,0.04445,-0.20872,-0.03448,-0.01891,0.06814,-0.05015,0.01627,0.20916,-0.00456,-0.07623,0.00536,-0.00743,0.17356,0.03605,-0.01325,-0.05496,0.10978,-0.11005,0.1159,0.05468,-0.08423,-0.03593,0.08236,0.12871,-0.03707,-0.0778
SIDM01259,0.1107,0.42425,-0.80206,0.1595,0.27589,1.24246,-0.00978,-0.39527,-3.12882,0.65809,0.15048,-0.06083,-1.08284,0.04397,0.06188,0.00805,-0.28863,0.64409,0.0458,0.4246,0.30018,-0.43122,0.15339,0.67584,0.36759,0.05026,-0.25969,-1.29093,0.09791,0.67048,0.44489,0.69496,-0.04793,-0.09928,0.65572,-0.09325,-0.08095,0.1598,-0.05049,0.66509,0.29931,0.35552,-0.00732,0.14479,-0.25359,-0.10015,0.0185,0.29849,-0.06145,-0.05365,0.00405,-0.24912,0.68278,-0.01568,-0.13732,0.10097,-0.01214,0.09138,0.04904,-0.00812,-0.2492,-0.12466,-0.14983,0.33406,0.37008,0.32641,-0.01118,0.01324,0.10056,0.11447,-0.10257,0.25533,-0.14576,0.5874,-0.10635,0.30443,0.18304,0.17965,0.17611,0.36854,0.12886,-0.1608,0.02928,0.14998,0.12581,0.05129,-0.14543,-0.14258,-0.07871,-0.07972,-0.19614,0.00664,-0.02644,-0.21424,-0.10108,-0.08112,-0.00467,0.10645,0.15746,0.04529
SIDM00415,-0.51482,1.30331,-2.30261,-0.16148,0.86456,0.37013,0.43037,-1.34017,-2.19594,1.64914,-0.037,-0.19745,-0.69439,0.50104,-0.04285,-0.237,0.21835,-0.38549,-0.35118,0.38992,0.07574,0.01426,-0.12139,0.0908,-0.07427,0.07685,0.1521,0.06056,-0.03078,-0.02575,0.24471,0.05399,0.01337,0.032,-0.00824,0.28219,0.04751,0.06214,0.51325,-0.47431,-0.05367,0.39302,-0.14596,-0.38589,0.13362,0.09607,-0.20798,-0.2441,0.09212,0.59036,0.06106,0.12397,-0.14718,-0.02132,0.02928,-0.10667,-0.1459,-0.06239,0.03311,-0.03882,0.04151,-0.04552,0.13042,-0.14324,-0.17391,0.05971,-0.02578,-0.00944,-0.02507,0.0885,-0.02733,0.04188,-0.09995,-0.06439,-0.10021,0.0169,0.07446,-0.11091,-0.01567,-0.19596,0.02303,-0.01177,0.01985,0.01293,-0.17324,-0.0239,-0.3375,-0.04645,-0.15619,0.19916,0.27745,-0.14034,-0.07298,-0.05544,0.017,0.03343,-0.01023,-0.07204,0.04627,-0.04543
SIDM00447,-0.10464,0.45029,-1.45685,-0.68996,1.15143,0.17278,0.09611,1.21289,-0.60784,2.30983,0.21289,-0.1982,-2.78421,-0.44156,-0.08054,-0.25308,-0.75836,-0.36364,-0.0624,0.08028,1.00655,-0.17707,0.01639,-0.30793,-0.07945,0.18603,0.22609,0.63847,0.45322,0.09967,1.13243,-0.0331,-0.03971,-0.33081,-0.20251,0.15902,0.03993,-0.19935,-1.02298,-1.02657,-0.01165,-0.23198,-0.05761,-0.0397,-0.28161,0.34838,0.17821,-0.01285,0.11457,-1.79559,0.19303,-0.09316,-0.14184,0.08532,-0.05633,-0.05279,-0.1785,-0.05799,-0.04695,0.18202,0.01165,-0.02726,0.26777,-0.53904,0.18718,-0.03864,-0.06575,0.12633,0.13306,0.12099,-0.04529,0.02653,0.24418,0.04032,-0.05497,-0.07332,0.03825,0.10412,-0.04172,-0.03552,-0.08791,-0.16681,0.06469,0.04877,0.11502,-0.08535,0.00099,0.14316,0.04898,0.01611,-0.03148,-0.12327,-0.03689,0.10636,-0.07585,0.07104,0.08987,-0.07462,-0.19668,0.01306
SIDM01038,-0.9553,0.89323,-3.07533,0.03675,0.80663,0.68238,0.42209,-0.78331,-1.2182,1.88524,-0.03428,-0.29591,0.37732,-0.03727,0.0771,-0.11672,0.39828,-0.89856,-0.16231,-0.32087,0.82096,-0.35048,0.02328,-0.13064,-0.5649,0.01349,0.18149,0.25796,0.12095,0.18835,0.51885,0.30796,-0.09236,0.01011,0.48083,0.05712,-0.57431,0.15643,0.19095,-0.87281,0.0426,0.01066,0.18463,0.14413,0.13217,-0.12201,-0.01539,-0.05177,0.7291,-0.23209,0.01725,-0.19195,0.03514,-0.12167,0.12839,-0.39282,0.16817,-0.0405,0.04568,0.08923,-0.30038,-0.08863,-0.34864,-0.22558,-0.2859,0.09805,0.01918,-0.04731,0.11471,-0.17426,-0.35263,-0.26127,0.04988,0.01394,-0.11401,0.02831,0.19918,0.10155,0.03247,0.18742,0.04143,0.04058,0.13335,0.17711,0.37809,-0.0162,-0.19679,0.29659,0.05407,0.07242,0.25708,0.08379,-0.1583,-0.21788,0.19358,-0.26085,0.15869,-0.21821,0.22241,0.14502
SIDM00331,-0.48995,0.32563,-1.50644,-0.32436,1.06543,-0.20267,0.11585,0.68816,-0.05882,3.53672,0.09307,-0.14717,-2.15252,0.17542,-0.07119,0.00393,-0.55724,-0.32286,-0.26897,0.41038,0.7455,0.16292,0.06997,-0.61564,0.09317,-0.00787,0.16994,0.47606,0.27717,-0.88004,1.18967,-0.13877,0.06702,-0.09374,-0.64713,-0.06127,0.20177,0.0154,-0.30413,-1.00644,-0.1141,-0.24139,0.11504,0.03397,0.00412,0.0868,-0.02039,0.10549,0.1537,-1.38294,0.07982,-0.06441,-0.15094,0.19285,0.14826,-0.26246,-0.16427,0.05064,-0.02752,-0.23386,0.0161,-0.1873,0.50995,0.66853,0.06243,-0.03523,0.03061,-0.04456,-0.02757,-0.00141,0.13252,0.12335,0.34357,-0.09103,0.0091,0.46727,0.02009,0.11335,-0.21449,0.06435,0.00691,0.44704,-0.13848,-0.06774,-0.00468,0.09711,0.16628,0.03981,-0.04185,0.16489,0.01399,0.01221,0.28138,0.1358,-0.21307,-0.10321,-0.02682,0.02321,0.00841,0.01521
SIDM00400,-1.20414,1.41544,-3.00168,-0.22317,1.56421,-0.00892,0.4483,-1.58405,-3.46369,1.95303,-0.01966,-0.13469,-0.48205,0.04071,0.05349,0.10173,0.42893,-0.88423,-0.13557,0.0904,0.15564,-0.17645,0.01301,0.00297,-0.30271,0.0565,-0.0299,-0.67429,0.16742,-0.13028,-1.12851,0.2712,0.10973,0.00844,0.06147,0.12612,-0.102,0.21037,0.72255,-0.33835,-0.00497,0.47755,0.13354,-0.0141,-0.08527,0.19977,-0.27703,0.06449,0.16401,0.587,0.0025,-0.03417,0.38842,-0.1385,-0.01478,0.03939,0.00121,-0.05591,0.10274,0.16071,-0.0134,-0.13938,-0.03699,-0.0616,0.0161,0.24492,-0.08874,-0.08922,0.02965,-0.02317,-0.19334,0.27218,-0.06711,-0.00355,-0.11183,0.24659,0.27835,0.06079,-0.00561,0.13848,-0.04264,0.00138,0.00422,-0.17967,0.16931,0.02748,0.0187,-0.08017,0.12509,0.03935,0.14546,0.22143,0.18034,-0.11906,-0.02105,0.14094,-0.21049,-0.12362,0.12815,-0.15139
SIDM01172,-0.04902,-0.71318,1.18421,-0.62843,0.0556,-0.8345,0.0476,1.15998,4.72531,-0.07546,-0.05073,0.31594,1.19258,-0.19116,0.14425,-0.14476,-0.13041,-0.59855,-1.16223,-0.70396,-0.35651,-0.22267,0.02981,-0.12294,0.12269,0.06367,0.41322,-0.50457,-0.12615,0.67011,0.39214,0.00872,0.1078,0.0823,0.0036,0.10067,0.16847,0.07179,-1.92499,-0.73537,0.04075,-0.50936,0.12064,-0.47073,0.15098,-0.08418,-0.02113,0.08566,-0.15894,0.83357,0.01394,0.00234,0.08704,-0.20919,0.06357,0.03878,0.26728,-0.00226,-0.03159,-0.02049,-0.02081,-0.16469,-0.51006,0.33398,0.18372,0.07609,0.05587,-0.18822,0.15814,-0.05492,0.08142,0.05498,0.09146,0.18869,0.00266,-0.06248,0.22971,-0.18181,-0.08801,0.34851,0.02753,-0.04611,-0.0241,0.22041,0.12769,-0.11675,-0.09062,-0.2296,0.21341,-0.13211,0.04515,-0.16813,-0.04271,0.05347,-0.0976,-0.18272,-0.01278,-0.02878,-0.03933,-0.03829
SIDM00896,1.24819,-0.38079,2.39606,0.73774,-1.52096,0.81618,-0.51621,-0.45219,-1.59856,-3.45818,-0.03766,0.02759,0.9301,0.02467,-0.0343,-0.46587,-0.10573,1.11688,0.18447,-0.61821,-0.14945,-0.10426,0.03113,0.17253,0.44523,0.41582,-0.24179,-2.04235,0.26661,0.34088,0.74814,-0.75645,-0.03328,0.11638,0.77906,0.48369,0.17998,-0.15365,0.8336,1.87695,-0.01497,-0.63595,-0.56782,0.36526,-0.22617,-0.24949,-0.03753,0.13794,-0.39214,0.07699,0.23184,-0.03415,-0.19228,0.07165,0.07852,0.12086,0.08619,-0.19661,0.03027,-0.0968,-0.12691,0.32934,0.47778,0.74058,0.48308,0.17115,0.03809,-0.1389,0.27689,0.19647,-0.1429,-0.7455,-0.54912,0.41275,0.04162,0.10704,-0.37172,-0.11283,-0.095,-0.14793,-0.28885,-0.05878,0.32217,0.08032,0.08669,0.38318,0.5773,0.22543,0.02998,-0.10921,-0.10616,-0.3299,0.12175,-0.09152,0.21595,0.30259,-0.03205,-0.50918,0.13853,-0.02755
SIDM00661,-0.71713,1.03836,-1.95033,-0.06027,1.26467,0.26081,0.35252,-1.6456,-3.58215,1.4533,-0.01211,-0.10012,0.18477,0.115,0.05998,0.17846,0.13339,-0.25131,-0.13863,0.44283,-0.32138,-0.07982,-0.04672,0.05127,-0.00564,0.07652,-0.02335,-0.04009,-0.15638,-0.61396,0.04046,0.17467,0.05454,0.01003,-0.15143,0.19267,-0.02344,0.1587,-0.31542,-0.30423,-0.04346,0.66991,0.12947,-0.3259,0.29026,0.20598,-0.0685,-0.10997,-0.19312,0.52692,-0.15999,0.13791,0.06148,-0.09845,0.00232,-0.04933,0.02513,0.0068,-0.05626,-0.06655,0.05131,0.22832,-0.27545,-1.2916,-0.37948,-0.05387,-0.02824,0.04732,-0.01574,-0.048,0.11602,-0.08248,0.32372,-0.26447,-0.01115,-0.27113,-0.32849,-0.04505,0.26574,-0.03437,0.04437,0.27028,-0.09036,0.29829,-0.06105,0.0654,0.12075,0.0129,0.00827,0.05903,-0.39563,-0.09802,0.09075,0.16807,-0.03704,0.1379,0.22878,-0.08488,-0.20587,0.2144
SIDM00917,0.2061,-0.34302,0.66355,0.88273,-2.167,0.67864,0.09074,-1.27219,2.23464,-0.83564,-0.26466,0.02828,1.82822,-0.16241,0.05482,-0.14683,0.20607,0.45032,-0.01598,0.20995,0.08567,0.37464,0.19366,-0.0801,0.14231,-0.25553,0.03868,3.92423,-0.7617,-0.13549,-0.33345,-0.25031,-0.00093,-0.05814,-0.37716,-0.02993,0.281,0.17413,0.50627,0.14894,-0.0773,-0.67994,0.07089,-0.31191,0.282,-0.0181,0.11882,0.22782,0.27413,-1.25066,-0.02071,-0.02056,-0.27666,0.12128,0.14525,0.13679,0.07884,-0.01456,0.05591,-0.07601,0.02503,-0.14696,0.48077,-0.39105,0.18249,-0.06839,0.00229,-0.03173,-0.02383,0.0376,0.20439,0.09486,-0.32505,0.04369,0.0777,-0.07412,-0.10214,-0.03852,-0.03854,0.01127,0.01748,0.29138,-0.01392,0.16584,0.01285,-0.08474,-0.13721,0.01307,-0.07417,0.0681,0.25671,-0.13207,-0.04276,0.02837,0.50233,0.0305,-0.18375,-0.03161,0.06866,-0.00863
SIDM01092,-0.21777,0.21546,0.38683,0.29995,-0.82609,-0.18611,0.04884,-1.02627,1.57003,-0.6865,-0.05217,-0.09754,0.8815,-0.01339,-0.03529,-0.17167,0.34494,0.35731,-0.14208,0.49972,0.03578,0.35033,0.11191,-0.11753,0.29871,-0.09363,0.06802,3.17907,-0.68785,-0.52337,0.02717,-0.20708,0.02742,-0.02925,-0.29327,0.07731,0.43939,0.07391,-0.19815,-0.33058,-0.05131,-0.69653,0.09472,-0.12526,0.25911,0.05019,0.05938,-0.14802,-0.1927,-1.19697,0.09827,-0.12691,-0.23865,0.21409,0.08201,0.17335,-0.02694,-0.12574,0.13273,-0.12275,-0.04596,-0.1719,0.42195,0.03654,-0.04604,-0.03891,-0.00185,0.0662,0.07661,-0.05035,0.11371,0.04685,-0.4153,0.00642,0.04333,0.17589,-0.14996,-0.05326,-0.08704,-0.19058,-0.05415,0.14699,0.077,0.12172,0.18537,0.08568,-0.11117,0.04887,-0.05419,-0.08346,-0.06143,-0.03067,0.03365,-0.00344,-0.04484,-0.11802,0.00114,0.01149,-0.09117,0.07201
SIDM00438,-1.18537,1.35256,-2.51224,-0.24635,1.55804,0.50689,0.45142,-1.32078,-3.16183,2.22932,-0.07005,-0.17391,-0.5898,0.04285,0.01611,-0.20698,0.1203,-0.65058,-0.24245,0.26151,0.32301,-0.20899,0.0218,0.14077,-0.14873,-0.10167,0.11002,-0.51221,-0.05826,-0.14929,-0.47587,0.37211,-0.01132,0.11004,0.37345,-0.2279,0.05379,0.18056,0.63979,-0.39807,-0.01934,0.459,0.07439,-0.09505,0.1345,-0.06951,-0.0239,-0.27638,0.06941,0.31693,-0.12757,-0.06556,0.01064,-0.0501,0.09281,-0.05685,0.03735,-0.07081,-0.0017,-0.05458,-0.12377,-0.02447,-0.25921,-0.04891,0.09433,0.16572,-0.0394,-0.00058,-0.09253,-0.09537,-0.06412,-0.32295,-0.21822,-0.21674,-0.10355,0.0264,0.06305,-0.06216,-0.066,-0.25167,0.00651,0.07164,0.01086,0.18621,0.0162,0.01827,-0.35553,-0.21891,0.12114,0.01128,0.12496,-0.03401,0.01681,-0.16376,0.1575,-0.18353,0.13254,-0.11893,0.16273,-0.0673
SIDM00886,-0.43252,1.50606,-3.0484,-0.09452,1.38969,-0.19136,0.47419,-1.85017,-4.23291,0.98362,-0.04622,-0.14807,-0.31971,0.03354,-0.00117,0.19176,0.21446,-0.30784,-0.25194,0.40291,-0.28907,-0.11053,-0.16229,0.29127,-0.30694,0.11908,-0.09327,-0.19659,-0.0307,-0.02272,-0.11344,0.21795,-0.02409,0.01371,0.05021,0.38357,-0.15316,0.03349,0.46755,-0.09895,-0.01587,0.90923,0.06063,-0.04709,0.1081,0.32298,-0.09048,-0.17592,0.01524,1.24841,0.27276,0.33893,-0.0953,-0.36773,-0.08759,-0.15609,-0.15741,-0.07716,-0.01235,-0.06575,0.19514,0.37442,-0.21956,0.05729,-0.29232,-0.20944,-0.01636,-0.0674,0.01122,0.0128,-0.16357,-0.04369,0.02852,-0.00671,0.06177,-0.03221,-0.25646,-0.12115,0.08165,-0.14158,-0.01902,-0.1875,-0.13472,-0.23593,-0.11402,-0.23654,0.08444,0.18475,-0.01006,0.02683,-0.00456,-0.156,-0.05395,-1e-05,-0.11277,0.21592,0.0023,-0.06137,-0.14543,0.14445
