,corr,pvalue
SIDM00237,0.16291878834266674,2.1804674016125944e-17
SIDM00588,0.13407520221356636,7.3325367189858e-12
SIDM00255,0.27004865235795794,2.317149838196679e-45
SIDM00493,-0.02417507257798585,0.251057876469832
SIDM00399,0.09727113520596514,1.3023061726701817e-06
SIDM01156,0.23098791717884623,3.875333523872286e-34
SIDM01093,0.2959234131856211,7.987884231085655e-56
SIDM00640,0.48580698853592386,9.165963783899643e-172
SIDM00323,0.4269425747202989,1.5411631202119735e-106
SIDM00920,0.17974389170588387,9.758507025411764e-21
SIDM00874,0.18277035548874923,1.9521623215368452e-19
SIDM00928,-0.014126533230927392,0.4764273395325924
SIDM00235,0.19497431202003224,7.450805975547599e-20
SIDM00257,0.48360201871709696,1.6511253004847807e-152
SIDM00256,0.4821318599213719,3.587707193152957e-159
SIDM00549,0.41005385632458724,2.3136957635013043e-105
SIDM00861,0.1933022898069258,1.0993578954232446e-21
SIDM00088,0.20646170596642124,2.3832908370359142e-26
SIDM00233,0.4977704694178626,1.3614384157087113e-170
SIDM00937,0.19461037811903176,9.084837749791304e-23
SIDM00878,-0.032413360855104795,0.11652361037564553
SIDM00132,0.1792232284481928,3.8231153766440714e-20
SIDM00828,0.3556636261209967,2.088331727330575e-75
SIDM00925,0.32450512900829426,5.040818473583479e-67
SIDM01123,0.28900689063225143,2.700495944112682e-51
SIDM00740,0.02237823201896556,0.2718386672361087
SIDM01040,0.07137670299252745,0.00033048890884437756
SIDM01077,0.417808403867497,1.581716452522212e-122
SIDM00290,0.459249645335261,1.0267510365096523e-133
SIDM00952,0.26197925820063767,3.9800090046523904e-42
SIDM00772,0.15657835725434008,2.514167806313308e-15
SIDM01038,0.38121686565762863,1.2044103625590922e-81
SIDM00449,0.3487489408292134,6.837911576197295e-73
SIDM00280,0.25115065097217754,6.2781110697710586e-40
SIDM00301,0.38910380291852376,2.027643146313696e-99
SIDM00510,0.3861539222545557,2.933873325124197e-97
SIDM00856,0.006669861197165799,0.7434644884803538
SIDM00747,0.018204615535290597,0.40652319312745466
SIDM00553,0.05539581344084096,0.016909003628950557
SIDM00689,0.5240435163454223,4.5333715215477166e-172
SIDM00980,0.24310850897483746,5.081657585753568e-37
SIDM00184,0.13295135806008054,1.732010975797179e-12
SIDM01043,0.061940137012807,0.00272739909252465
SIDM01013,0.39273105370079914,5.510931215715664e-93
SIDM00271,-0.03394327995995581,0.08481051258991787
SIDM00819,0.09351403621784483,3.955240105682874e-06
SIDM00300,0.2659342919541903,1.3141873263958733e-41
SIDM00766,0.3737498744358348,6.093330105603152e-84
SIDM01193,0.18912664350651612,1.2352482663952934e-19
SIDM00094,0.41346470844777694,3.073624132338434e-112
SIDM00631,0.19850456998861407,3.646047399297473e-23
SIDM00218,0.22666499745456412,1.6865213704442654e-29
SIDM00544,0.43335204060954075,1.814095083377639e-119
SIDM00648,0.2957749503806853,9.48704417868736e-55
SIDM01081,0.02284698942023481,0.2680451253715923
SIDM00477,0.04319747891366319,0.02999514240248548
SIDM00668,0.4419495545191803,1.1086147898268472e-130
SIDM00360,0.003497747023868568,0.8636506928254903
SIDM00761,0.19825194460928303,4.232076768415824e-23
SIDM00483,0.12714798073436187,5.4623322356482286e-11
SIDM00208,0.35879887208876865,3.607900081615437e-70
SIDM00950,0.4622167751727324,1.065372536306409e-150
SIDM00365,0.48135951191057424,2.0901462995655237e-143
SIDM00139,0.1686506926658078,2.5535027319011257e-17
SIDM00482,0.43243398720590265,7.031664948890414e-118
SIDM00704,0.43587298768748217,6.059695937713933e-126
SIDM00354,0.05087649794337059,0.008793403415583285
SIDM00734,0.28072412807589026,1.128460396664528e-51
SIDM00379,0.5023981665603918,7.047610139418371e-175
SIDM00806,0.3800284421120337,1.9452459023099268e-95
SIDM00812,0.055413872120277034,0.004739878381270159
SIDM00796,0.2167383345032274,1.4599121220514286e-28
SIDM00829,0.16731214957462426,2.6536994985096333e-13
SIDM01175,0.15183957021955646,2.1194858030027017e-14
SIDM01056,0.10543198909111795,1.1021556970906062e-07
SIDM00250,0.3911792457270204,2.134833959355018e-96
SIDM00259,0.16337892371046966,5.460108512821525e-16
SIDM00199,0.43033636632000544,3.908619727860879e-121
SIDM00646,0.3711590850213432,1.4711734460454717e-83
SIDM01011,0.3640342314472269,5.043366642342315e-78
SIDM00412,0.4708093267549277,1.3937990660953515e-137
SIDM01033,-0.0238385903982698,0.27879063021336764
SIDM00455,0.382195644482696,4.3258177924846825e-93
SIDM00210,0.07909974432045871,7.494777298741964e-05
SIDM01149,0.24109058945968487,6.895565934534555e-35
SIDM00964,-0.10076179816684262,2.0391625460843282e-06
SIDM00748,0.3800312102485824,1.0981514067946026e-90
SIDM00892,-0.016736747958638915,0.4289248659761059
SIDM00842,0.21788316455320925,3.160668258647437e-29
SIDM00079,0.41961158135731114,1.0413671233462356e-122
SIDM00350,0.10476991453813198,7.572120576470547e-08
SIDM00571,0.07187314855224207,0.0008530052704436785
SIDM00616,0.06591160449457105,0.0007804173966371353
SIDM00202,0.011643042643532773,0.557913304184753
SIDM00966,0.19429101231035237,1.1223408260129125e-23
SIDM00484,0.07730915831254023,0.0001639956396881923
SIDM00997,0.17641354979178323,1.161493503895185e-19
SIDM00146,0.24103853142467485,1.4635870681507037e-38
SIDM00732,0.17256862042786217,1.40249513184264e-17
SIDM00931,0.19925547046551953,1.466182227199398e-25
SIDM01128,0.4335324170589276,4.484265753762256e-120
SIDM00130,0.19474271985669847,3.021902319622848e-22
SIDM00052,0.3781520809194042,1.2866529091004905e-95
SIDM00156,0.04868694529061113,0.014690143508826782
SIDM00854,0.4553155239420245,3.7433401328780777e-128
SIDM01186,0.16129866427607817,2.283844208309852e-16
SIDM01248,0.23546234068788208,7.30448536097888e-33
SIDM00131,-0.15906748227551068,9.814019001429274e-16
SIDM00560,-0.08191422359902704,0.00011649156342667038
SIDM00702,0.377951825240609,1.54455496791119e-89
SIDM00741,0.26162565989181424,9.98206742243315e-32
SIDM00078,-0.007762088414325413,0.7367515956436963
SIDM00693,0.44446662029933454,2.1714093213784912e-126
SIDM00081,0.12142318479583006,6.906494778471399e-10
SIDM00124,0.1620155366999106,2.16841099432832e-14
SIDM00448,0.18908055378913735,4.332903321533099e-19
SIDM00395,0.35175258970191187,5.844503854187239e-76
SIDM00416,0.3179314749716941,3.0006897439349557e-59
SIDM00637,0.49628438674234865,3.822846647725221e-145
SIDM00617,0.3126439694525449,2.0480959238375434e-55
SIDM00710,0.26834013294086456,2.6941451576922023e-45
SIDM00116,0.002750563894341982,0.8907762748845278
SIDM00760,0.42150887313401136,2.813596095836871e-107
SIDM00329,0.44408393635658905,2.730864112899688e-125
SIDM00570,0.1727543672692713,5.072515179314027e-18
SIDM00263,0.18223637250680289,6.243283510406486e-20
SIDM00327,0.4845047542561329,2.886160206387989e-148
SIDM00955,0.19328714934071198,4.778801820038581e-25
SIDM00826,0.22333762723706163,1.3042786529641096e-28
