Cell_line	Rep
EVSA-T	3
EW-1	3
EW-11	3
EW-12	3
EW-13	3
EW-16	3
EW-18	3
EW-22	3
EW-24	3
EW-3	3
EW-7	3
EoL-1-cell	3
FADU	3
FLO-1	3
FTC-133	3
FU-OV-1	3
FU97	3
Farage	3
G-292-Clone-A141B1	3
G-361	3
G-401	3
G-402	3
G-MEL	3
GA-10	3
GAK	3
GAMG	3
GB-1	3
GCIY	3
GCT	3
GDM-1	3
GI-1	3
GI-ME-N	3
GMS-10	3
GOTO	3
GP5d	3
GR-ST	3
GRANTA-519	3
H-EMC-SS	3
H3255	3
H4	3
H9	3
HA7-RCC	3
HAL-01	3
HARA	3
HC-1	3
HCC-15	3
HCC-33	3
HCC-366	3
HCC-44	3
HCC-78	3
HCC-827	3
HCC1143	3
HCC1187	3
HCC1395	3
HCC1419	3
HCC1428	3
HCC1500	3
HCC1569	3
HCC1599	3
HCC1806	3
HCC1937	3
HCC1954	3
HCC2157	3
HCC2218	3
HCC2998	3
HCC38	3
HCC70	3
HCE-4	3
HCT-116	3
HCT-15	3
HD-MY-Z	3
HDLM-2	3
HDQ-P1	3
HEC-1	3
HEL	3
HGC-27	3
HH	3
HL-60	3
HLE	3
HMV-II	3
HN	3
HO-1-N-1	3
HO-1-u-1	3
HOP-62	3
HOP-92	3
HOS	3
HPAC	3
HSC-2	3
HSC-3	3
HSC-39	3
HSC-4	3
HT	3
HT-1080	3
HT-115	3
HT-1197	3
HT-1376	3
HT-144	3
HT-29	3
HT-3	3
HT55	3
HTC-C3	3
HeLa	3
Hep3B2-1-7	3
Hey	3
Hs-445	3
Hs-578-T	3
Hs-633T	3
Hs-683	3
Hs-746T	3
Hs-766T	3
Hs-939-T	3
Hs-940-T	3
HuCCT1	3
HuH-7	3
HuO-3N1	3
HuO9	3
HuP-T3	3
HuP-T4	3
HuTu-80	3
IA-LM	3
IGR-1	3
IGR-37	3
IGROV-1	3
IHH-4	3
IM-9	3
IM-95	3
IMR-5	3
IPC-298	3
IST-MEL1	3
IST-MES1	3
IST-SL1	3
IST-SL2	3
J82	3
JAR	3
JEG-3	3
JEKO-1	3
JHH-1	3
JHH-2	3
JHH-4	3
JHH-6	3
JHH-7	3
JHOS-2	3
JHOS-3	3
JHOS-4	3
JHU-011	3
JHU-022	3
JHU-029	3
JIMT-1	3
JJN-3	3
JM1	3
