Cell_line	Replicate	Rep
HCC-827	1	2
HCC-827	2	2
HCC-827	3	2
HCC1143	1	2
HCC1143	2	2
HCC1143	3	2
HCC1187	1	2
HCC1187	2	2
HCC1187	3	2
HCC1395	1	2
HCC1395	2	2
HCC1395	3	2
HCC1419	1	2
HCC1419	2	2
HCC1419	3	2
HCC1428	1	2
HCC1428	2	2
HCC1428	3	2
HCC1500	1	2
HCC1500	2	2
HCC1500	3	2
HCC1569	1	2
HCC1569	2	2
HCC1569	3	2
HCC1599	1	2
HCC1599	2	2
HCC1599	3	2
HCC1806	1	2
HCC1806	2	2
HCC1806	3	2
HCC1937	1	2
HCC1937	2	2
HCC1937	3	2
HCC1954	1	2
HCC1954	2	2
HCC1954	3	2
HCC2157	1	2
HCC2157	2	2
HCC2157	3	2
HCC2218	1	2
HCC2218	2	2
HCC2218	3	2
HCC2998	1	2
HCC2998	2	2
HCC2998	3	2
HCC38	1	2
HCC38	2	2
HCC38	3	2
HCC70	1	2
HCC70	2	2
HCC70	3	2
HCE-4	1	2
HCE-4	2	2
HCE-4	3	2
HCT-116	1	2
HCT-116	2	2
HCT-116	3	2
HCT-15	1	2
HCT-15	2	2
HCT-15	3	2
HD-MY-Z	1	2
HD-MY-Z	2	2
HD-MY-Z	3	2
HDLM-2	1	2
HDLM-2	2	2
HDLM-2	3	2
HDQ-P1	1	2
HDQ-P1	2	2
HDQ-P1	3	2
HEC-1	1	2
HEC-1	2	2
HEC-1	3	2
HEL	1	2
HEL	2	2
HEL	3	2
HGC-27	1	2
HGC-27	2	2
HGC-27	3	2
HH	1	2
HH	2	2
HH	3	2
HL-60	1	2
HL-60	2	2
HL-60	3	2
HLE	1	2
HLE	2	2
HLE	3	2
HMV-II	1	2
HMV-II	2	2
HMV-II	3	2
HN	1	2
HN	2	2
HN	3	2
HO-1-N-1	1	2
HO-1-N-1	2	2
HO-1-N-1	3	2
HO-1-u-1	1	2
HO-1-u-1	2	2
HO-1-u-1	3	2
HOP-62	1	2
HOP-62	2	2
HOP-62	3	2
HOP-92	1	2
HOP-92	2	2
HOP-92	3	2
HOS	1	2
HOS	2	2
HOS	3	2
HPAC	1	2
HPAC	2	2
HPAC	3	2
HSC-2	1	2
HSC-2	2	2
HSC-2	3	2
HSC-3	1	2
HSC-3	2	2
HSC-3	3	2
HSC-39	1	2
HSC-39	2	2
HSC-39	3	2
HSC-4	1	2
HSC-4	2	2
HSC-4	3	2
HT	1	2
HT	2	2
HT	3	2
HT-1080	1	2
HT-1080	2	2
HT-1080	3	2
HT-115	1	2
HT-115	2	2
HT-115	3	2
HT-1197	1	2
HT-1197	2	2
HT-1197	3	2
HT-1376	1	2
HT-1376	2	2
HT-1376	3	2
HT-144	1	2
HT-144	2	2
HT-144	3	2
HT-29	1	2
HT-29	2	2
HT-29	3	2
HT-3	1	2
HT-3	2	2
HT-3	3	2
HT55	1	2
HT55	2	2
HT55	3	2
HTC-C3	1	2
HTC-C3	2	2
HTC-C3	3	2
HeLa	1	2
HeLa	2	2
HeLa	3	2
Hep3B2-1-7	1	2
Hep3B2-1-7	2	2
Hep3B2-1-7	3	2
Hey	1	2
Hey	2	2
Hey	3	2
Hs-445	1	2
Hs-445	2	2
Hs-445	3	2
Hs-578-T	1	2
Hs-578-T	2	2
Hs-578-T	3	2
Hs-633T	1	2
Hs-633T	2	2
Hs-633T	3	2
Hs-683	1	2
Hs-683	2	2
Hs-683	3	2
Hs-746T	1	2
Hs-746T	2	2
Hs-746T	3	2
Hs-766T	1	2
Hs-766T	2	2
Hs-766T	3	2
Hs-939-T	1	2
Hs-939-T	2	2
Hs-939-T	3	2
Hs-940-T	1	2
Hs-940-T	2	2
Hs-940-T	3	2
HuCCT1	1	2
HuCCT1	2	2
HuCCT1	3	2
HuH-7	1	2
HuH-7	2	2
HuH-7	3	2
HuO-3N1	1	2
HuO-3N1	2	2
HuO-3N1	3	2
HuO9	1	2
HuO9	2	2
HuO9	3	2
HuP-T3	1	2
HuP-T3	2	2
HuP-T3	3	2
HuP-T4	1	2
HuP-T4	2	2
HuP-T4	3	2
HuTu-80	1	2
HuTu-80	2	2
HuTu-80	3	2
IA-LM	1	2
IA-LM	2	2
IA-LM	3	2
IGR-1	1	2
IGR-1	2	2
IGR-1	3	2
IGR-37	1	2
IGR-37	2	2
IGR-37	3	2
IGROV-1	1	2
IGROV-1	2	2
IGROV-1	3	2
IHH-4	1	2
IHH-4	2	2
IHH-4	3	2
IM-9	1	2
IM-9	2	2
IM-9	3	2
IM-95	1	2
IM-95	2	2
IM-95	3	2
IMR-5	1	2
IMR-5	2	2
IMR-5	3	2
IPC-298	1	2
IPC-298	2	2
IPC-298	3	2
IST-MEL1	1	2
IST-MEL1	2	2
IST-MEL1	3	2
IST-MES1	1	2
IST-MES1	2	2
IST-MES1	3	2
IST-SL1	1	2
IST-SL1	2	2
IST-SL1	3	2
IST-SL2	1	2
IST-SL2	2	2
IST-SL2	3	2
J82	1	2
J82	2	2
J82	3	1
JAR	1	2
JAR	2	2
JAR	3	2
JEG-3	1	2
JEG-3	2	2
JEG-3	3	2
JEKO-1	1	2
JEKO-1	2	2
JEKO-1	3	2
JHH-1	1	2
JHH-1	2	2
JHH-1	3	2
JHH-2	1	2
JHH-2	2	2
JHH-2	3	2
JHH-4	1	2
JHH-4	2	2
JHH-4	3	2
JHH-6	1	2
JHH-6	2	2
JHH-6	3	2
JHH-7	1	2
JHH-7	2	2
JHH-7	3	2
JHOS-2	1	2
JHOS-2	2	2
JHOS-2	3	2
JHOS-3	1	2
JHOS-3	2	2
JHOS-3	3	2
JHOS-4	1	2
JHOS-4	2	2
JHOS-4	3	2
JHU-011	1	2
JHU-011	2	2
JHU-011	3	2
JHU-022	1	2
JHU-022	2	2
JHU-022	3	2
JHU-029	1	2
JHU-029	2	2
JHU-029	3	2
JIMT-1	1	2
JIMT-1	2	2
JIMT-1	3	2
JJN-3	1	2
JJN-3	2	2
JJN-3	3	2
JM1	1	2
JM1	2	2
JM1	3	2
JSC-1	1	2
JSC-1	2	2
JSC-1	3	2
JURL-MK1	1	2
JURL-MK1	2	2
JURL-MK1	3	2
JVM-2	1	2
JVM-2	2	2
JVM-2	3	2
JVM-3	1	2
JVM-3	2	2
JVM-3	3	2
JiyoyeP-2003	1	2
JiyoyeP-2003	2	2
JiyoyeP-2003	3	2
Jurkat	1	2
Jurkat	2	2
Jurkat	3	2
K-562	1	2
K-562	2	2
K-562	3	2
K052	1	2
K052	2	2
K052	3	2
K2	1	2
K2	2	2
K2	3	2
K5	1	2
K5	2	2
K5	3	2
KALS-1	1	2
KALS-1	2	2
KALS-1	3	2
KARPAS-1106P	1	2
KARPAS-1106P	2	2
KARPAS-1106P	3	2
KARPAS-231	1	2
KARPAS-231	2	2
KARPAS-231	3	2
KARPAS-299	1	2
KARPAS-299	2	2
KARPAS-299	3	2
KARPAS-422	1	2
KARPAS-422	2	2
KARPAS-422	3	2
KARPAS-45	1	2
KARPAS-45	2	2
KARPAS-45	3	2
KARPAS-620	1	2
KARPAS-620	2	2
KARPAS-620	3	2
KASUMI-1	1	2
KASUMI-1	2	2
KASUMI-1	3	2
KATOIII	1	2
KATOIII	2	2
KATOIII	3	2
KCL-22	1	2
KCL-22	2	2
KCL-22	3	2
KE-37	1	2
KE-37	2	2
KE-37	3	2
KELLY	1	2
KELLY	2	2
KELLY	3	2
KG-1	1	2
KG-1	2	2
KG-1	3	2
KGN	1	2
KGN	2	2
KGN	3	2
KINGS-1	1	2
KINGS-1	2	2
KINGS-1	3	2
KLE	1	2
KLE	2	2
KLE	3	2
KM-H2	1	2
KM-H2	2	2
KM-H2	3	2
KM12	1	2
KM12	2	2
KM12	3	2
KMH-2	1	2
KMH-2	2	2
KMH-2	3	2
KMOE-2	1	2
KMOE-2	2	2
KMOE-2	3	2
KMRC-1	1	2
KMRC-1	2	2
KMRC-1	3	2
KMRC-20	1	2
KMRC-20	2	2
KMRC-20	3	2
KMS-11	1	2
KMS-11	2	2
KMS-11	3	2
KMS-12-BM	1	2
KMS-12-BM	2	2
KMS-12-BM	3	2
KNS-42	1	2
KNS-42	2	2
KNS-42	3	2
KNS-62	1	2
KNS-62	2	2
KNS-62	3	2
KNS-81-FD	1	2
KNS-81-FD	2	2
KNS-81-FD	3	2
KON	1	2
KON	2	2
KON	3	2
KOPN-8	1	2
KOPN-8	2	2
KOPN-8	3	2
KOSC-2	1	2
KOSC-2	2	2
KOSC-2	3	2
KP-1N	1	2
KP-1N	2	2
KP-1N	3	2
KP-2	1	2
KP-2	2	2
KP-2	3	2
KP-3	1	2
KP-3	2	2
KP-3	3	2
KP-4	1	2
KP-4	2	2
KP-4	3	2
KP-N-RT-BM-1	1	2
KP-N-RT-BM-1	2	2
KP-N-RT-BM-1	3	2
KP-N-YN	1	2
KP-N-YN	2	2
KP-N-YN	3	2
KP-N-YS	1	2
KP-N-YS	2	2
KP-N-YS	3	2
KS-1	1	2
KS-1	2	2
KS-1	3	2
KU-19-19	1	2
KU-19-19	2	2
KU-19-19	3	2
KU812	1	2
KU812	2	2
KU812	3	2
KURAMOCHI	1	2
KURAMOCHI	2	2
KURAMOCHI	3	2
KY821	1	2
KY821	2	2
KY821	3	2
KYAE-1	1	2
KYAE-1	2	2
KYAE-1	3	2
KYM-1	1	2
KYM-1	2	2
KYM-1	3	2
KYSE-140	1	2
KYSE-140	2	2
KYSE-140	3	2
KYSE-150	1	2
KYSE-150	2	2
KYSE-150	3	2
KYSE-180	1	2
KYSE-180	2	2
KYSE-180	3	2
KYSE-220	1	2
KYSE-220	2	2
KYSE-220	3	2
KYSE-270	1	2
KYSE-270	2	2
KYSE-270	3	2
KYSE-410	1	2
KYSE-410	2	2
KYSE-410	3	2
KYSE-450	1	2
KYSE-450	2	2
KYSE-450	3	2
KYSE-50	1	2
KYSE-50	2	2
KYSE-50	3	2
KYSE-510	1	2
KYSE-510	2	2
KYSE-510	3	2
KYSE-520	1	2
KYSE-520	2	2
KYSE-520	3	2
KYSE-70	1	2
KYSE-70	2	2
KYSE-70	3	2
L-1236	1	2
L-1236	2	2
L-1236	3	2
L-363	1	2
L-363	2	2
L-363	3	2
L-428	1	2
L-428	2	2
L-428	3	2
L-540	1	2
L-540	2	2
L-540	3	2
LAMA-84	1	2
LAMA-84	2	2
LAMA-84	3	2
LAN-6	1	2
LAN-6	2	2
LAN-6	3	2
LB1047-RCC	1	2
LB1047-RCC	2	2
LB1047-RCC	3	2
LB2241-RCC	1	2
LB2241-RCC	2	2
LB2241-RCC	3	2
LB2518-MEL	1	2
LB2518-MEL	2	2
LB2518-MEL	3	2
LB373-MEL-D	1	2
LB373-MEL-D	2	2
LB373-MEL-D	3	2
LB647-SCLC	1	2
LB647-SCLC	2	2
LB647-SCLC	3	2
LB771-HNC	1	2
LB771-HNC	2	2
LB771-HNC	3	2
LB831-BLC	1	2
LB831-BLC	2	2
LB831-BLC	3	2
LB996-RCC	1	2
LB996-RCC	2	2
LB996-RCC	3	2
LC-1-sq	1	2
LC-1-sq	2	2
LC-1-sq	3	2
LC-2-ad	1	2
LC-2-ad	2	2
LC-2-ad	3	2
LC4-1	1	2
LC4-1	2	2
LC4-1	3	2
LCLC-103H	1	2
LCLC-103H	2	2
LCLC-103H	3	2
LCLC-97TM1	1	2
LCLC-97TM1	2	2
LCLC-97TM1	3	2
LK-2	1	2
LK-2	2	2
LK-2	3	2
LN-18	1	2
LN-18	2	2
LN-18	3	2
LN-229	1	2
LN-229	2	2
LN-229	3	2
LN-405	1	2
LN-405	2	2
LN-405	3	2
LNCaP-Clone-FGC	1	2
LNCaP-Clone-FGC	2	2
